sección censal,renta media
2807906073,10193.0
2807906074,10310.0
2807906075,12567.0
2807906076,16724.0
2807906077,16326.0
2807906078,14390.0
2807906079,18485.0
2807906080,12714.0
2807906081,9579.0
2807906084,7995.0
2807906085,10042.0
2807906089,10609.0
2807906090,10986.0
2807906091,11893.0
2807906092,13541.0
2807906093,10678.0
2807906094,11982.0
2807906095,11024.0
2807906096,10369.0
2807906097,11231.0
2807906098,10869.0
2807906099,9505.0
2807906101,11763.0
2807906102,11651.0
2807906103,13053.0
2807906104,10963.0
2807906105,12141.0
2807906106,12481.0
2807906107,14833.0
2807906108,10993.0
2807906109,11450.0
2807906110,11992.0
2807906111,14156.0
2807906112,10521.0
2807906113,12920.0
2807906114,12640.0
2807906115,10923.0
2807906116,11772.0
2807906117,13543.0
2807906118,12190.0
2807906119,12005.0
2807906120,10526.0
2807906121,12084.0
2807906122,13036.0
2807906123,10601.0
2807906124,11280.0
2807906125,20433.0
2807906126,12310.0
2807906127,10645.0
2807906128,11562.0
2807906129,11705.0
2807907001,20754.0
2807907002,18878.0
2807907003,16430.0
2807907004,18831.0
2807907005,17639.0
2807907006,21315.0
2807907007,19742.0
2807907008,24284.0
2807907009,16381.0
2807907010,18386.0
2807907011,16979.0
2807907012,18783.0
2807907013,20696.0
2807907014,18443.0
2807907016,16730.0
2807907017,19473.0
2807907018,20248.0
2807907019,22484.0
2807907021,26408.0
2807907023,22297.0
2807907024,19630.0
2807907025,17114.0
2807907026,18527.0
2807907028,18548.0
2807907030,16649.0
2807907031,18222.0
2807907032,15999.0
2807907034,15535.0
2807907035,16794.0
2807907036,18638.0
2807907038,17756.0
2807907039,18125.0
2807907040,17678.0
2807907041,18533.0
2807907042,27077.0
2807907043,26079.0
2807907044,23592.0
2807907045,16924.0
2807907046,19756.0
2807907047,20270.0
2807907048,24694.0
2807907049,25900.0
2807907050,20180.0
2807907051,18394.0
2807907052,19457.0
2807907053,18270.0
2807907055,18894.0
2807907056,18874.0
2807907057,20293.0
2807907058,18472.0
2807907059,21775.0
2807907060,20565.0
2807907061,19239.0
2807907062,17903.0
2807907063,19698.0
2807907064,21225.0
2807907065,16248.0
2807907066,17784.0
2807907067,18990.0
2807907068,21320.0
2807907069,19057.0
2807907070,18603.0
2807907071,21259.0
2807907072,22884.0
2807907073,29048.0
2807907075,29364.0
2807907076,29364.0
2807907078,29364.0
2807907079,23814.0
2807907080,27105.0
2807907081,29364.0
2807907082,29364.0
2807907083,29364.0
2807907084,29364.0
2807907085,29364.0
2807907086,24624.0
2807907087,24820.0
2807907088,21014.0
2807907089,19907.0
2807907090,17437.0
2807907091,17583.0
2807907092,29364.0
2807907093,29038.0
2807907094,26542.0
2807907095,29364.0
2807907096,25965.0
2807907097,19147.0
2807907098,23741.0
2807907099,19419.0
2807907100,20484.0
2807907101,18310.0
2807907102,19245.0
2807907103,19327.0
2807907105,23576.0
2807907106,20013.0
2807907107,25444.0
2807907108,19333.0
2807907109,20203.0
2807907110,17290.0
2807907111,22293.0
2807907112,22619.0
2807907113,17497.0
2807907114,24523.0
2807907115,28609.0
2807907116,19402.0
2807907117,15010.0
2807907118,19390.0
2807907119,19621.0
2807907120,23549.0
2807907121,26159.0
2807907122,22091.0
2807907123,22238.0
2807907124,24018.0
2807907125,26046.0
2807907126,21623.0
2807907127,20713.0
2807907128,29364.0
2807907129,27908.0
2807907130,29364.0
2807907131,29364.0
2807907132,25466.0
2807907133,28193.0
2807907134,17557.0
2807907135,20940.0
2807908001,14609.0
2807908002,19932.0
2807908003,14305.0
2807908004,14753.0
2807908005,29364.0
2807908006,29364.0
2807908007,27576.0
2807908008,22213.0
2807908009,17565.0
2807908010,15871.0
2807908011,13660.0
2807908012,21998.0
2807908013,27695.0
2807908014,19147.0
2807908015,15905.0
2807908016,10058.0
2807908017,16124.0
2807908018,10262.0
2807908019,10064.0
2807908020,14157.0
2807908021,12558.0
