ID,Value,C,D,E,F,G,H,I
12024,12024,PSOE,33.27,17.08,18.46,15.4,7.7,5.73
12020,12020,PSOE,45.9,13.87,18.16,11.13,4.1,3.91
18025,18025,PSOE,31.81,12.54,14.87,20.3,9.45,8.14
12019,12019,PSOE,41.22,12.23,17.02,16.76,3.46,5.85
18020,18020,PSOE,32.08,18.51,12.06,18.19,8.93,8.72
18047,18047,PSOE,32.34,12.11,13.27,19.4,10.12,10.61
13003,13003,PSOE,50.15,4.18,14.33,18.51,2.09,7.76
12007,12007,PSOE,36.93,13.94,13.44,21.73,5.15,6.66
12012,12012,PSOE,46.87,9.68,12.33,15.56,8.16,5.69
11150,11150,PSOE,32.17,20,16,17.33,8,4.67
18043,18043,PSOE,34.74,10.97,14.34,20.69,7.51,9.14
12002,12002,PSOE,36.8,15.4,11.8,19.4,4.4,9
12011,12011,PSOE,39.18,13.06,12.45,22.86,3.47,6.94
11149,11149,PSOE,38.42,24.82,9.55,15.04,5.73,4.77
12010,12010,PSOE,45.82,6.77,11.75,19.52,5.98,6.57
11148,11148,PSOE,29.85,16.33,17.09,18.2,7.91,7.14
13005,13005,PSOE,43.75,11.11,12.73,19.91,4.4,4.86
12008,12008,PSOE,39.53,13.18,14.02,18.41,5.74,7.43
12009,12009,PSOE,47.42,9.82,11.98,18.64,4.66,5.32
11193,11193,PSOE,31.96,19.39,17.77,16.52,6.64,6.1
10220,10220,PSOE,26.49,15.41,18.57,17.06,10.87,8.57
18019,18019,PSOE,35.91,14.25,13.13,19.53,6.73,7.74
12033,12033,PSOE,34.95,19.38,16.26,15.74,6.06,4.84
12103,12103,PSOE,36.01,13.62,16.58,19.32,5.17,6.34
13004,13004,PSOE,52.93,10.69,8.65,19.85,2.54,4.33
12001,12001,PSOE,34.74,10.42,14.64,22.58,7.44,7.94
11156,11156,PSOE,24.8,20.78,15.08,13.67,14.75,8.51
11140,11140,PSOE,32.28,21.46,16.64,15.31,7.15,5.16
11138,11138,PSOE,36.5,18.36,13.82,16.63,6.05,6.7
11145,11145,PSOE,30.65,20.67,17.51,19.44,4.55,6.3
11139,11139,PSOE,27.41,24.64,17.93,18.22,4.52,4.66
11146,11146,PSOE,31.96,25.04,16.94,12.37,6.19,4.86
